"id","Response","Theme"
"6303","It would make me uneasy knowing it's not a real person behind the AI. ","General Mistrust / Inaccuracy"
"6304","finding love, investing my money.","Personal & Emotional Life"
"6305","So","Uncategorized"
"6306","I don't have any scenario like that, I think AI is always going to be better at long term outcomes than humans.","Uncategorized"
"6307","Sentencing of criminals. The lack of humanity will bother me.","Legal & Justice System"
"6308","In the medical field during a surgical operation where the AI is trusted fully to carry out the whole procedure ","Medical & Healthcare"
"6309","Who to date","Personal & Emotional Life"
"6310","To let it take charge on military and army","Life-or-Death & Moral Dilemmas"
"6311","Imagine a scenario where an AI system is responsible for making end-of-life care decisions for patients in a hospital. This AI analyzes medical data, patient history, and predictive models to determine the best course of action, such as whether to continue aggressive treatment or to transition to palliative care.","Life-or-Death & Moral Dilemmas"
"6312","AI helping humans find partners","Personal & Emotional Life"
"6313","When we give ai to make decisions like in politics,ai can rule to throw a missile to another country which will make it a very big war that wasn't started by humans, that's my biggest fear","Life-or-Death & Moral Dilemmas"
"6314","Autonomous air movement eg planes","Life-or-Death & Moral Dilemmas"
"6315","In setting up security keys for accessing my online accounts and bank accounts, I feel much uncomfortable. ","Data Privacy & Security"
"6316","AI is not properly trained presently, so relaying totally on AI could be dangerous. Particularly saying that coding my algo trading program. ","General Mistrust / Inaccuracy"
"6317","I want to watch a niche movie that is not so good but I am interested in, but the artificial intelligence recommends me to watch another one through comprehensive analysis of box office reviews, word-of-mouth, and uses the same analysis to indicate that the movie I chose is not worth watching. The uncomfortable point is that my emotions and will are not determined by data analysis.","Personal & Emotional Life"
"6318","All artistic and creative aspects in general make me uncomfortable, as do any political decisions.","Creative & Artistic Pursuits"
"6319","I would not trust AI's suggestion in the finance area because the same suggestions were probably given to thousands of people. So they are not thrustworthy anymore","Financial Decisions"
"6320","AI can eliminate jobs","Hiring & Employment Decisions"
"6321","basically, an AI doing surgery. this is because while it would be based on optimal success, accidents do happen, perhaps an issue with the source of power could decide whether I live or die.","Medical & Healthcare"
"6322","education, therapy, artistic topics","Personal & Emotional Life"
"6324","Any medical scenario probably ","Medical & Healthcare"
"6325","I would feel uneasy if AI surveillance is used. Especially at work. Also AI completely taking over crucial tasks like rocket launches or heart surgeries ","Data Privacy & Security"
"6326","I would feel uncomfortable if AI decided who should receive medical treatment during a shortage because it might not consider the human emotions and unique situations involved. It makes me uneasy to think a machine could decide who gets help and who doesn’t.","Medical & Healthcare"
"6327","Finding a life partner or even a friend","Personal & Emotional Life"
"6328","Deciding who should be my friend or who I should date","Personal & Emotional Life"
"6329","Financial decisions, since they could be influenced by third parties. Some new type of ""advertising""","Financial Decisions"
"6331","Investing in stocks on my behalf. What if I loose all my money?","Financial Decisions"
